,Facebook Id
1051,100069146471596
1053,8730506663
1054,116439951753477
1056,100047288774198
1078,100063643533641
1081,100876031849620
1083,100069419430395
1089,100044638307120
1095,266673460156193
1099,100057804231928
1103,34416013392
1110,240647739366170
1114,100058305900742
1121,100044497151545
1140,149636419244
1143,100055396400795
1145,748721348516420
1146,100064454481905
1147,100057886156982
1149,100064793946905
1150,100058152096346
1151,1081057678759537
1153,100064532719048
1154,483440075392241
1156,100064470382972
1161,467355413362396
1163,100064531699252
1170,100058103769166
1171,100057998864270
1172,333337533421490
1173,1531152573804681
1174,216221748414950
1175,461501813948124
1176,204440016266997
1178,100057886158002
1181,100047170148936
1198,100064645785620
1203,100063953100597
1204,224810564215160
1205,100058207202500
1206,327028170835761
1213,100064243440760
1214,491626144990533
1236,238727525079
1237,140248746011513
1238,100068010068557
1242,114553238633816
1248,100047698478598
1249,184010474981463
1250,100069231579061
1254,153684204650219
1261,600593650044099
1264,192169444475165
1265,100058153204869
1268,100064851184040
1269,164199296966338
1279,39656174351
1292,100426018758959
1295,111499980217981
1306,100069148451463
1307,100058147656354
1308,100064533949266
1311,1520001211562154
1312,157113770966910
1313,110185473956827
1322,1303444159831033
1328,100063582523499
1329,588153804680297
1346,201297463245023
1355,100063927218382
1356,1560084740901349
1357,100057634797298
1361,100064203654397
1364,78051079290
1366,228026383905802
1367,100044930143228
1368,233069453721948
1369,100057802731738
1370,373734547294
1371,100054159641380
1373,168487939867383
1374,100063551349851
1377,29980347283
1380,129927310386393
1382,115265791579
1386,53211686893
1396,65964644136
1397,8205126307
1400,440347382692901
1409,100052214143093
1410,100044333714268
1415,146379071641
1426,100067183197163
1427,258326880978488
1428,100058023159888
1436,313068322899643
1444,338615513242560
1446,144202755738723
1447,398260708168
1448,100068974877350
1459,100057895788666
1460,1473058846244941
1462,109670120193
1470,1435042446772370
1471,100063270826201
1472,1626756830783750
1485,340218396016486
1488,190254503197
1496,975097445944854
1506,362078421372
1512,162109150480176
1522,328723383034
1533,47732846700
1534,100058972423973
1537,100063566921387
1542,456019091135469
1545,160209580694124
1570,106744497389378
1575,100064763496327
1578,121957167816599
1579,409722426446080
1582,260473867457816
1585,100067949402249
1588,100064703885336
1589,106553347413921
1591,119410738437253
1592,1483468268335868
1606,100064921142825
1607,288296562204
1609,54653747378
1615,100063590453093
1624,117591408288480
1626,100028020597143
1644,1165811973480743
1646,2074525632833296
1651,198815086808477
1656,1994895884171471
1658,944847292265187
1667,100057808732903
1677,100057931184369
1681,100057752154409
1683,402621206538162
1691,337952186376944
1697,393733114026754
1700,312207619163
1701,160843497292527
1702,132117456833140
1704,100056384396472
1716,66149357541
1721,134224653279031
1735,100067568047336
1736,955884191111076
1737,586453121520803
1757,100064428470148
1761,1852342555031376
1763,1552509484793498
1765,393162594170046
1766,100064806127844
1916,189198141364
1917,1511305025774917
1918,363034167161905
1924,100047391674686
1926,100036084228252
1931,120415188138113
1932,2176379932605539
1933,100064871850450
1938,100063877923150
1941,393721034383935
1945,357549491559827
1946,209670849214804
1947,100059758491828
